region,title,view_num,danmu,upload_time,up_author,bvid,video_url
环球,俄媒：大批乌军士兵已经交出了武器,74.5万,197,2022-02-24,环球网,BV1NL411T7Lt,www.bilibili.com/video/BV1NL411T7Lt?from=search
人文·历史,俄乌战争咋回事儿？,1.9万,66,2022-02-26,章夏Sean,BV14S4y1k76j,www.bilibili.com/video/BV14S4y1k76j?from=search
日常,俄乌冲突的原因找到了(幸亏师傅没去贴砖，不然全部得返工),6.0万,63,2022-02-27,B站伙计二杰,BV16q4y1x7iA,www.bilibili.com/video/BV16q4y1x7iA?from=search
热点,俄乌战争谁是赢家？美国自己都不会想到，“失控”种子已埋下,3330,1,2022-03-03,研究员李春光,BV1Hb4y1x7TL,www.bilibili.com/video/BV1Hb4y1x7TL?from=search
热点,俄乌军事差距 比纸面数据还要夸张,7.5万,76,2022-02-22,中国军视网,BV1AY41157N8,www.bilibili.com/video/BV1AY41157N8?from=search
热点,安理会现场被乌代表要求祈祷救赎，俄代表：我打断一下,80.8万,1429,2022-02-27,观察者网,BV1ou411X7oE,www.bilibili.com/video/BV1ou411X7oE?from=search
热点,大家都低估普京的意图和决心，前台湾高官杨念祖两点分析俄乌冲突,5.8万,34,2022-02-26,海峡导报社,BV1Li4y1y7sp,www.bilibili.com/video/BV1Li4y1y7sp?from=search
环球,美国诱使俄乌开战，不过是针对中国的一场“美梦”，普京早已看穿,8.5万,154,2022-02-07,罗富强观察室,BV1wi4y1f7WT,www.bilibili.com/video/BV1wi4y1f7WT?from=search
日常,5年前完结的网络小说，竟神预言俄乌局势，普京的举动都被猜中,10.8万,64,2022-02-25,star星视频,BV1ZL411K7SZ,www.bilibili.com/video/BV1ZL411K7SZ?from=search
社科·法律·心理,喜剧演员要在普京头上动土，大棋还是豪赌？【消化一下】,87.4万,6057,2021-12-15,观察者网,BV1FZ4y1R78V,www.bilibili.com/video/BV1FZ4y1R78V?from=search
热点,《纽约时报》报道试图将俄乌冲突嫁祸中国，汪文斌：十分卑劣,5.2万,16,2022-03-03,环球网,BV1eq4y1477e,www.bilibili.com/video/BV1eq4y1477e?from=search
热点,俄乌谈判破裂！乌克兰紧急转变作战思路，普京收回余地挺进基辅,19.8万,729,2022-03-01,评论员李炜,BV17a411h7PR,www.bilibili.com/video/BV17a411h7PR?from=search
